roomid,placeid
Brigade Tech Park,ChIJw9HZWuMRrjsR6N7BzDbSZ28
Dollars Colony,ChIJacTDi-EXrjsRy02b4FsCwAs
Bommasandra,ChIJ4XWn7zdsrjsRxFkskzA5aL8
Battarahalli,ChIJIdnHnVYQrjsRvAq4Ikolxb4
Basaveshwara Nagar,ChIJu2vRsqI9rjsRZy0viMNvrWM
Basavanagudi,ChIJqfs4p5IVrjsRx2LhtOBKArk
Bannerghatta Road,ChIJscTYemxqrjsRGslptIz_z_U
B.A.Tech Park,ChIJGVJUECQXrjsR-DB5Jgiof2k
Attiguppe,ChIJiTQWoHA-rjsRA1gk1vXbLBA
Attibele,ChIJQRrg0oIDrjsRDRCCbXSoD0M
Anjaneya Complex,ChIJszkvoAUUrjsRThkhdRgwMtE
Andrahalli,ChIJJ7z4dYg8rjsRtXDJI0xzwfY
Amrutha Halli,ChIJE4BVAi4YrjsRixZDPvxJlyc
Akshayanagar,ChIJ6bvUfi5rrjsR1bHxnKWR7QA
Bagalakunte,ChIJHbJ6Zc08rjsRXyOzViFM7so
Laxmi Road,ChIJGV0LBXHAwjsRAfpHenBEiZE
Kothrud,ChIJnYSvMre_wjsR8ET-s0iLB9Q
Gokhale Nagar,ChIJP5pW_Jm_wjsR7YLsaT1cXrc
Dhankawadi,ChIJ3TLxhrfqwjsR8yBKajO8c34
Camp,ChIJwYkQn0zAwjsR1J-40am3xwo
Bhandarkar Road,ChIJS6xjc4a_wjsRsKsOw7UvtBQ
Aundh Rd,ChIJnwtCjSjUwzsRdM6mMHwftmU
Aundh,ChIJmZeTbnPRwzsRSPUNoa4MLY4
Akurdi,ChIJy-hUKcC5wjsR8ibV4Y1wXVI
Kattigenahalli,ChIJS2l1DBcZrjsRgLVm-mhm-oY
Kalyan Nagar,ChIJGVJUECQXrjsR-DB5Jgiof2k
Peenya,ChIJRzY70xY9rjsR3tdmv15q7os
kadugodi,ChIJERs-PT4OrjsRu70kITZTReA
Huskur,ChIJA0-97BhtrjsRw4pocjvZ0IE
Hombegowda Nagar,ChIJf6fYU7gVrjsRm4oNUBcrcXo
Sadduguntepalya,ChIJWdbtHlMUrjsRggZh-zSF3jw
Ramohalli,ChIJyRYJTlY4rjsRmupSS9D-8uA
Nelamangala,ChIJY8pZfYQlrjsRkzL3bbIj7vc
Infantry Road,ChIJCVaGfWMWrjsR5pPBW0UK0Is
Hongasandra,ChIJS6gB7MAUrjsRoXBMeJaXm_M
Old Airport Road,ChIJDc1N_cMTrjsRpQheBVeATTY
Mysore Road,ChIJE6SGbgF8pTsRIckugGWy1Z8
OMBR Layout,ChIJNUuzgi0RrjsRR6IN0WErfLY
Kogilu,ChIJrY_taqsZrjsRGtdmVYbwe0o
Velankani Tech Park,ChIJjyPGd5xsrjsRuigTY0VkG80
Mahalakshmi Layout,ChIJZ6biFXE9rjsRUjUG5N7M8vM
Electronic City Phase II,ChIJ-YRO7PJsrjsR2X90TlrzbHg
Doddaballapur,ChIJoyNj6TjesTsRYxHY5TJrkL8
Chandapura,ChIJb8YdYdttrjsR8iZf3jhBSb4
Bommanahalli,ChIJfRkUyO4UrjsR6XFi8njTCs8
